% Model:              2zones.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 7 2026, 15:05
% Dimension:          1
% Nodes:              101
% Expressions:        1053
% Description:        Molar concentration, c
% Grid
0                         1                        2                        3                        4                        5                        6                        7                        8                        9                        10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21                       22                       23                       24                       25                       26                       27                       28                       29                       30                       31                       32                       33                       34                       35                       36                       37                       38                       39                       40                       41                       42                       43                       44                       45                       46                       47                       48                       49                       50                       51                       52                       53                       54                       55                       56                       57                       58                       59                       60                       61                       62                       63                       64                       65                       66                       67                       68                       69                       70                       71                       72                       73                       74                       75                       76                       77                       78                       79                       80                       81                       82                       83                       84                       85                       86                       87                       88                       89                       90                       91                       92                       93                       94                       95                       96                       97                       98                       99                       100                     
% Data
% c (mol/m^3) @ t=0, u1=0.01, u2=0.01, u3=0.01, u4=0.01
1                         -4.52284577296406E-8     2.1593471701523133E-15   2.4290496195567383E-20   3.2340292311947445E-26   3.296041953163354E-32    3.0016600099896497E-38   2.568143168585249E-44    2.111589465229364E-50    1.6890005337407386E-56   1.3239176014680624E-62   1.0217940586561672E-68   7.79019512281781E-75     5.880645162805391E-81    4.402910824473005E-87    3.273866670895748E-93    2.4200833644693857E-99   1.7799128735064726E-105  1.3033148956459134E-111  9.506353164339764E-118   6.910104932075609E-124   5.007517918951129E-130   3.6187942682094285E-136  2.608706507018747E-142   1.8763191843387725E-148  1.3467757137039002E-154  9.648653579058268E-161   6.900611668883022E-167   4.92738662588991E-173    3.513225083996447E-179   2.5015087296252548E-185  1.77887870701488E-191    1.2635029233544204E-197  8.964486853538535E-204   6.353665619595138E-210   4.498841287921395E-216   3.182581786456978E-222   2.249489953010255E-228   1.5886754562396342E-234  1.1211204880548578E-240  7.90593344971015E-247    5.571269719169295E-253   3.923471825984166E-259   2.761316920956639E-265   1.9422465388589392E-271  1.3653592927401014E-277  9.593019108379866E-284   6.736587369782215E-290   4.728361615731429E-296   3.3172385754331584E-302  2.326197727743083E-308   1.6305679507E-314        4.763E-321               0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
% Data
% c (mol/m^3) @ t=100, u1=0.01, u2=0.01, u3=0.01, u4=0.01
1                         0.8551207359120235       0.7035370973406724       0.5550797663659197       0.41872944042835386      0.30124528267747536      0.20630615495644353      0.13437088082976173      0.0832460788494243       0.04911660929372076      0.027660124837926972     0.01491090100943898      0.007720170566018068     0.003852562185108826     0.001859480197800084     8.709784859475932E-4     3.97148727998762E-4      1.767945086321404E-4     7.703234612519891E-5     3.292808841974815E-5     1.3836856245124268E-5    5.726267043004902E-6     2.337555797425038E-6     9.42581162558134E-7      3.7590559326814166E-7    1.4842753951834004E-7    5.8082027536197315E-8    2.254380243218613E-8     8.685486831975142E-9     3.3237526542165112E-9    1.2641074775966692E-9    4.780626525971982E-10    1.7985853054389804E-10   6.73443058067523E-11     2.5104616636988918E-11   9.320342123338533E-12    3.4471786969156583E-12   1.270471094797355E-12    4.66701243512017E-13     1.7091513621351565E-13   6.241298483624166E-14    2.2730026603241382E-14   8.257076643562195E-15    2.9923938648971276E-15   1.08202298023414E-15     3.904215992513574E-16    1.405920505010538E-16    5.0531628346392255E-17   1.8129419690028054E-17   6.493246388288852E-18    2.32184719645219E-18     8.289588014162074E-19    2.9552296299676817E-19   1.0520533068226201E-19   3.740242611356721E-20    1.3280144677274204E-20   4.7094554245039676E-21   1.6681141533866645E-21   5.901861242228087E-22    2.0858355270044861E-22   7.364062758058574E-23    2.597279536201105E-23    9.151665503710747E-24    3.2216423884903934E-24   1.1330913743812246E-24   3.981775908389497E-25    1.398060950506133E-25    4.90484460078526E-26     1.7194361857217184E-26   6.0230954771167875E-27   2.1083221156045555E-27   7.374759283595876E-28    2.5778761742344974E-28   9.005104757942982E-29    3.143668674918342E-29    1.0967670994947703E-29   3.824104041171725E-30    1.3325706992869278E-30   4.640912684223824E-31    1.6153852064270936E-31   5.619724990543773E-32    1.9540096120599868E-32   6.790740692489068E-33    2.3588064988035173E-33   8.189508983875731E-34    2.841968300733202E-34    9.857837152266516E-35    3.417827335561312E-35    1.184484827952005E-35    4.103216596685946E-36    1.4208211764984977E-36   4.917889373318631E-37    1.7015573868733513E-37   5.885006200617095E-38    2.0346192974791923E-38   7.031611867158414E-39    2.428994667070035E-39    8.379765820036438E-40    2.8639244625344715E-40   8.936837541915089E-41    0
% Data
% c (mol/m^3) @ t=200, u1=0.01, u2=0.01, u3=0.01, u4=0.01
1                         0.910695049588524        0.8143184375356264       0.7140391059810915       0.613256172441459        0.5153179432541052       0.42324349397217687      0.33948247912303764      0.2657454641376334       0.20292742345023887      0.15113181634407916      0.10978462379394456      0.0778114717865717       0.05384133250659086      0.036400243356549254     0.024067401239686554     0.015579884558284548     0.009885923372126243     0.006156203706283826     0.003766855159435368     0.002267431084013861     0.0013442527569214047    7.857775200619003E-4     4.5336123360196383E-4    2.5842928374855174E-4    1.4567648719980374E-4    8.127499165318278E-5     4.491441389637611E-5     2.4603158784592535E-5    1.3367868036555035E-5    7.208846376200061E-6     3.860520988099347E-6     2.054122734423673E-6     1.0864560856915797E-6    5.714667756789794E-7     2.990437113371986E-7     1.5574015358104117E-7    8.074820487053279E-8     4.1693038173894475E-8    2.1444386612882743E-8    1.098990996495418E-8     5.613153763825766E-9     2.857890702226694E-9     1.4507620271431045E-9    7.344086299033284E-10    3.708030287108982E-10    1.8675828085997194E-10   9.384465691473832E-11    4.7053246136026286E-11   2.3543603866873064E-11   1.1757327907584521E-11   5.860600138938539E-12    2.916187728147979E-12    1.448664934437989E-12    7.185151222289158E-13    3.558387759151356E-13    1.7597526104351305E-13   8.690813533441036E-14    4.286543646009827E-14    2.111629999133877E-14    1.0390016994183499E-14   5.106521276770497E-15    2.507065503575601E-15    1.2295827683138065E-15   6.024487650750515E-16    2.9489699021993005E-16   1.4421984320074123E-16   7.046927343431325E-17    3.440403834217283E-17    1.6782932512910396E-17   8.18065825936439E-18     3.9845850780776244E-18   1.939385851096171E-18    9.432847331868528E-19    4.584895871534214E-19    2.2270723401139163E-19   1.0811026522546619E-19   5.24489040648457E-20     2.543029825032988E-20    1.232310931139209E-20    5.968302571224848E-21    2.8890200472322047E-21   1.3977407784983925E-21   6.759053982031023E-22    3.266893158433362E-22    1.5782650388132185E-22   7.621262329138719E-23    3.6785916422816746E-23   1.774800028958222E-23    8.559249832583477E-24    4.126153864809508E-24    1.9883062083192884E-24   9.577522969847134E-25    4.611649675157167E-25    2.219629420133728E-25    1.0677018380436584E-25   5.128376500832638E-26    2.4488931442787656E-26   1.1373018797203723E-26   4.5335050223217066E-27   0
% Data
