% Model:              2zones_40m.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 9 2026, 09:27
% Dimension:          1
% Nodes:              101
% Expressions:        117
% Description:        Molar concentration, c
% Grid
0                         1                        2                        3                        4                        5                        6                        7                        8                        9                        10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21                       22                       23                       24                       25                       26                       27                       28                       29                       30                       31                       32                       33                       34                       35                       36                       37                       38                       39                       40                       41                       42                       43                       44                       45                       46                       47                       48                       49                       50                       51                       52                       53                       54                       55                       56                       57                       58                       59                       60                       61                       62                       63                       64                       65                       66                       67                       68                       69                       70                       71                       72                       73                       74                       75                       76                       77                       78                       79                       80                       81                       82                       83                       84                       85                       86                       87                       88                       89                       90                       91                       92                       93                       94                       95                       96                       97                       98                       99                       100                     
% Data
% c (mol/m^3) @ t=0, u1=0.01, u2=0.01
1                         -4.52284577296406E-8     2.1593471701523156E-15   2.4290496195566453E-20   3.234029231194745E-26    3.296041953163355E-32    3.001660009989856E-38    2.568143168585174E-44    2.1115894652292956E-50   1.6890005337406043E-56   1.323917601468096E-62    1.0217940586562016E-68   7.790195122816518E-75    5.88064516280535E-81     4.402910824472971E-87    3.273866670895487E-93    2.42008336446942E-99     1.7799128735067816E-105  1.3033148956461391E-111  9.506353164339409E-118   6.910104932076722E-124   5.0075179189509404E-130  3.618794268209244E-136   2.60870650701879E-142    1.8763191843385523E-148  1.3467757137037435E-154  9.648653579061512E-161   6.900611668882769E-167   4.927386625890059E-173   3.513225083997009E-179   2.5015087296249207E-185  1.7788787070151382E-191  1.2635029233545034E-197  8.964486853538303E-204   6.353665619595131E-210   4.498841287921992E-216   3.182581786457071E-222   2.2494899530102538E-228  1.5886754562396356E-234  1.1211204880548903E-240  7.905933449710162E-247   5.571269719168548E-253   3.9234718259840655E-259  2.7613169209565617E-265  1.9422465388589418E-271  1.3653592927401014E-277  9.593019108380136E-284   6.736587369781129E-290   4.7283616157296576E-296  3.3172385754335086E-302  2.326197727742364E-308   1.630560837E-314         4.773E-321               0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
% Data
% c (mol/m^3) @ t=100, u1=0.01, u2=0.01
1                         0.8551207359120234       0.7035370973406725       0.5550797663659196       0.4187294404283539       0.30124528267747547      0.20630615495644358      0.13437088082976173      0.08324607884942425      0.04911660929372076      0.027660124837926972     0.014910901009438985     0.007720170566018066     0.0038525621851088253    0.0018594801978000835    8.709784859475929E-4     3.97148727998762E-4      1.7679450863214034E-4    7.703234612519885E-5     3.292808841974812E-5     1.3836856245124267E-5    5.726267043004903E-6     2.3375557974250385E-6    9.425811625581341E-7     3.759055932681417E-7     1.4842753951834007E-7    5.808202753619726E-8     2.2543802432186124E-8    8.685486831975137E-9     3.323752654216507E-9     1.2641074775966675E-9    4.780626525971975E-10    1.7985853054389765E-10   6.734430580675214E-11    2.510461663698885E-11    9.320342123338504E-12    3.4471786969156454E-12   1.2704710947973516E-12   4.667012435120156E-13    1.7091513621351505E-13   6.241298483624142E-14    2.2730026603241322E-14   8.257076643562174E-15    2.992393864897121E-15    1.0820229802341375E-15   3.9042159925135646E-16   1.405920505010535E-16    5.053162834639214E-17    1.8129419690028023E-17   6.493246388288838E-18    2.321847196452184E-18    8.289588014162051E-19    2.955229629967673E-19    1.052053306822617E-19    3.740242611356712E-20    1.3280144677274176E-20   4.709455424503961E-21    1.6681141533866633E-21   5.901861242228081E-22    2.0858355270044847E-22   7.36406275805857E-23     2.597279536201103E-23    9.151665503710747E-24    3.2216423884903934E-24   1.133091374381224E-24    3.981775908389497E-25    1.3980609505061334E-25   4.904844600785261E-26    1.7194361857217184E-26   6.0230954771167976E-27   2.108322115604558E-27    7.374759283595888E-28    2.5778761742345037E-28   9.005104757943003E-29    3.14366867491835E-29     1.0967670994947738E-29   3.824104041171738E-30    1.3325706992869331E-30   4.6409126842238445E-31   1.6153852064270995E-31   5.619724990543798E-32    1.9540096120599923E-32   6.790740692489099E-33    2.3588064988035296E-33   8.189508983875779E-34    2.8419683007332183E-34   9.857837152266587E-35    3.4178273355613367E-35   1.1844848279520134E-35   4.103216596685973E-36    1.4208211764985102E-36   4.917889373318664E-37    1.7015573868733634E-37   5.885006200617134E-38    2.034619297479207E-38    7.031611867158462E-39    2.4289946670700497E-39   8.379765820036495E-40    2.863924462534487E-40    8.936837541915152E-41    0
% Data
% c (mol/m^3) @ t=200, u1=0.01, u2=0.01
1                         0.910695049588524        0.8143184375356266       0.7140391059810914       0.613256172441459        0.5153179432541053       0.4232434939721767       0.33948247912303764      0.2657454641376334       0.20292742345023887      0.15113181634407916      0.10978462379394457      0.07781147178657172      0.053841332506590865     0.03640024335654926      0.024067401239686564     0.015579884558284554     0.009885923372126243     0.006156203706283828     0.003766855159435368     0.0022674310840138613    0.0013442527569214049    7.857775200619005E-4     4.5336123360196383E-4    2.584292837485519E-4     1.4567648719980388E-4    8.127499165318285E-5     4.49144138963762E-5      2.460315878459257E-5     1.3367868036555064E-5    7.208846376200079E-6     3.860520988099358E-6     2.0541227344236783E-6    1.0864560856915835E-6    5.714667756789815E-7     2.9904371133719976E-7    1.5574015358104172E-7    8.074820487053302E-8     4.169303817389458E-8     2.144438661288281E-8     1.0989909964954216E-8    5.613153763825787E-9     2.857890702226704E-9     1.4507620271431088E-9    7.344086299033308E-10    3.708030287108992E-10    1.8675828085997245E-10   9.384465691473854E-11    4.70532461360264E-11     2.3543603866873116E-11   1.175732790758455E-11    5.8606001389385494E-12   2.9161877281479847E-12   1.4486649344379927E-12   7.185151222289175E-13    3.5583877591513674E-13   1.7597526104351378E-13   8.690813533441079E-14    4.286543646009849E-14    2.1116299991338884E-14   1.0390016994183559E-14   5.1065212767705216E-15   2.507065503575613E-15    1.2295827683138122E-15   6.024487650750548E-16    2.948969902199316E-16    1.4421984320074197E-16   7.046927343431364E-17    3.4404038342173033E-17   1.6782932512910517E-17   8.180658259364448E-18    3.984585078077653E-18    1.9393858510961838E-18   9.432847331868586E-19    4.584895871534242E-19    2.2270723401139284E-19   1.0811026522546688E-19   5.2448904064846066E-20   2.5430298250330067E-20   1.2323109311392187E-20   5.9683025712249E-21      2.88902004723223E-21     1.3977407784984043E-21   6.759053982031083E-22    3.2668931584333906E-22   1.5782650388132324E-22   7.621262329138779E-23    3.6785916422817034E-23   1.774800028958236E-23    8.559249832583551E-24    4.1261538648095475E-24   1.988306208319305E-24    9.577522969847215E-25    4.611649675157206E-25    2.219629420133746E-25    1.0677018380436664E-25   5.1283765008326684E-26   2.4488931442787765E-26   1.1373018797203768E-26   4.533505022321729E-27    0
% Data
% c (mol/m^3) @ t=300, u1=0.01, u2=0.01
