epoch,total_loss,pde_loss,ic_loss,inlet_bc_loss,outlet_bc_loss
1,8.884325981140137,2.8553624153137207,1.3153235912322998,2.2031967639923096,2.510443687438965
2,8.370370864868164,2.6956231594085693,1.229567527770996,2.107189655303955,2.3379907608032227
3,7.87226676940918,2.54018235206604,1.1469135284423828,2.013559103012085,2.1716115474700928
4,7.3904008865356445,2.3892202377319336,1.067429780960083,1.9222815036773682,2.0114691257476807
5,6.925116539001465,2.242900848388672,0.9911819100379944,1.8333232402801514,1.8577110767364502
6,6.476712226867676,2.1013715267181396,0.918232798576355,1.7466381788253784,1.7104698419570923
7,6.045428276062012,1.9647613763809204,0.8486383557319641,1.6621685028076172,1.5698601007461548
8,5.6314496994018555,1.8331825733184814,0.7824411392211914,1.5798566341400146,1.435969352722168
9,5.234908580780029,1.7067350149154663,0.7196593880653381,1.4996615648269653,1.3088526725769043
10,4.855884552001953,1.5855062007904053,0.6602787375450134,1.4215751886367798,1.1885244846343994
11,4.494419097900391,1.4695757627487183,0.6042559146881104,1.3456236124038696,1.0749640464782715
12,4.150513172149658,1.3590096235275269,0.5515275597572327,1.2718533277511597,0.9681224226951599
13,3.824126720428467,1.2538560628890991,0.5020213723182678,1.2003164291381836,0.8679326772689819
14,3.5151782035827637,1.154144287109375,0.45566168427467346,1.1310592889785767,0.7743130922317505
15,3.223543405532837,1.059881329536438,0.41237178444862366,1.064120888710022,0.6871692538261414
16,2.949047088623047,0.9710519313812256,0.37207305431365967,0.9995294213294983,0.6063926815986633
17,2.6914727687835693,0.8876200914382935,0.33468496799468994,0.937306821346283,0.5318607687950134
18,2.4505553245544434,0.8095277547836304,0.3001236319541931,0.8774685263633728,0.46343547105789185
19,2.225987195968628,0.7366966009140015,0.26830199360847473,0.8200245499610901,0.40096399188041687
20,2.0174150466918945,0.6690281629562378,0.23912949860095978,0.7649798393249512,0.3442775309085846
21,1.8244457244873047,0.6064055562019348,0.21251226961612701,0.7123350501060486,0.2931928336620331
22,1.646642804145813,0.5486931800842285,0.1883528083562851,0.6620853543281555,0.24751146137714386
23,1.4835304021835327,0.4957379996776581,0.16655029356479645,0.6142216920852661,0.20702041685581207
24,1.3345932960510254,0.4473707377910614,0.1470002681016922,0.5687299370765686,0.1714923083782196
25,1.1992793083190918,0.40340667963027954,0.12959520518779755,0.5255909562110901,0.140686497092247
26,1.0770014524459839,0.3636475205421448,0.1142241582274437,0.48478034138679504,0.11434942483901978
27,0.9671398997306824,0.3278822898864746,0.10077326744794846,0.44626858830451965,0.09221572428941727
28,0.8690454959869385,0.29588931798934937,0.08912606537342072,0.4100205600261688,0.07400952279567719
29,0.78204345703125,0.26743805408477783,0.0791637971997261,0.37599578499794006,0.059445858001708984
30,0.7054373621940613,0.24229128658771515,0.07076576352119446,0.3441479802131653,0.048232320696115494
31,0.6385132670402527,0.22020654380321503,0.06381028145551682,0.3144252896308899,0.04007117450237274
32,0.5805466771125793,0.2009395807981491,0.05817512422800064,0.2867705225944519,0.034661490470170975
33,0.5308058261871338,0.18424537777900696,0.05373823642730713,0.2611207962036133,0.03170141577720642
34,0.4885587990283966,0.1698809564113617,0.05037872493267059,0.23740829527378082,0.030890827998518944
35,0.45307961106300354,0.15760792791843414,0.047977596521377563,0.2155601531267166,0.03193393349647522
36,0.42365390062332153,0.14719419181346893,0.04641864448785782,0.1954992264509201,0.03454186022281647
37,0.39958566427230835,0.13841643929481506,0.0455893911421299,0.1771443486213684,0.03843548521399498
38,0.38020309805870056,0.13106222450733185,0.04538195580244064,0.1604110598564148,0.04334786906838417
39,0.364863783121109,0.12493105232715607,0.045693766325712204,0.14521212875843048,0.04902682080864906
40,0.35296061635017395,0.11983675509691238,0.04642845690250397,0.13145843148231506,0.055236972868442535
41,0.34392592310905457,0.11560823023319244,0.04749636724591255,0.11905959248542786,0.061761725693941116
42,0.3372352123260498,0.11209037154912949,0.048815179616212845,0.10792483389377594,0.06840481609106064
43,0.3324103057384491,0.10914464294910431,0.05031029134988785,0.09796355664730072,0.07499179244041443
44,0.3290215730667114,0.10664960741996765,0.05191507190465927,0.08908656984567642,0.08137031644582748
45,0.3266887068748474,0.1045004278421402,0.05357104167342186,0.08120650798082352,0.08741072565317154
46,0.3250812292098999,0.10260870307683945,0.05522782355546951,0.07423850148916245,0.0930062085390091
47,0.32391756772994995,0.10090160369873047,0.056843020021915436,0.06810100376605988,0.09807194024324417
48,0.32296374440193176,0.09932099282741547,0.058381952345371246,0.06271624565124512,0.10254455357789993
49,0.32203084230422974,0.09782218933105469,0.05981723964214325,0.05801069736480713,0.10638072341680527
50,0.32097193598747253,0.0963725820183754,0.06112831085920334,0.05391548201441765,0.10955556482076645
51,0.31967893242836,0.0949501246213913,0.062300875782966614,0.050366491079330444,0.11206143349409103
52,0.31807804107666016,0.09354183077812195,0.06332622468471527,0.04730461165308952,0.11390537768602371
