case_id,u1,u2,u3,u4,t_days,t_star,x_star,c_comsol_star,c_model_star,abs_err,rel_err
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.0,1.0,0.9116005127408576,0.08839948725914237,0.08839948725905397
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.02040816326530612,0.6974776144437437,0.6119864861682219,0.08549112827552174,0.12257185966259368
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.04081632653061224,0.40913889693848626,0.3606822267029888,0.04845667023549749,0.11843574541059704
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.061224489795918366,0.1974977540429723,0.18845592894495197,0.009041825098020317,0.04578191353005048
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.08163265306122448,0.07767392055461558,0.08708182783063122,0.009407907276015634,0.12112054095788101
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.1020408163265306,0.025058242423949852,0.03563696564058282,0.01057872321663297,0.4221654111742492
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.12244897959183673,0.006773001166611723,0.013083837522352378,0.006310836355740654,0.9317636597966161
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.14285714285714285,0.0015770511372708025,0.004381094527288709,0.002804043390017906,1.778029463960484
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.16326530612244897,0.00032519632983823293,0.0013621567912498146,0.0010369604614115817,3.1887212833511698
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.17500000000000002,0.00012691342737866952,0.0006778749350416041,0.0005509615076629346,4.341238864173142
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.17954545454545456,8.15669898755142e-05,0.0005152270204464768,0.00043366003057096264,5.316611853841775
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.18367346938775508,6.083078207013543e-05,0.00040093820008460534,0.0003401074180144699,5.591041259855882
