epoch,train_total,train_pde,proxy_pde_rms,proxy_pde_rms_excl,proxy_pde_max_excl,proxy_pde_p50,proxy_pde_p90,proxy_ic_rms,proxy_inlet_rms,proxy_outlet_rms,proxy_combined,true_rel_l2,wall_s
0,nan,nan,0.36967612762766594,0.3692866046544014,0.7351824655066393,0.30993398239783276,0.5837396934209844,0.6043950662044997,0.3996300591362579,0.8694335191477702,1.1904977197846467,2.882026929214182,0.44
100,0.00852623989382585,0.004096921895255535,0.3094176544155427,0.1666045142258112,11.009513214493499,0.003890995497901709,0.08365851061106211,0.02957705157858263,0.013063305276774673,0.00034832262646446296,0.1697133978621222,0.04075676857911993,136.97
200,0.007887419470596414,0.0036031412571697692,0.5058325868204312,0.25850661775686334,18.374999078014714,0.00238839180532302,0.0641311330103807,0.02906634179823014,0.008918794908227298,0.0001492450847549247,0.2602884761689133,0.028747124864147718,272.83
300,0.007186469618532971,0.0029335970018222516,0.5646695354091757,0.3078995947661922,21.467229779368317,0.003998548482908316,0.05923581518838719,0.02865268765931053,0.007621719860987106,0.00042156537341612446,0.3093241104380498,0.020142258904076938,407.0
400,0.006495035155776333,0.0022602346929453503,0.645298009397342,0.37219088666301947,22.78384501542164,0.005481185765520357,0.05382121313923835,0.028364416861807958,0.0066830385863716766,0.0009341257819317587,0.37333112896547804,0.01528998541489419,543.77
500,0.00599028065765836,0.0017687136225036692,0.6938673683178663,0.40340014755568016,22.58887413880341,0.00670393532392575,0.04349904686473388,0.028219435794299134,0.005961054365299999,0.0010011678957677983,0.4044311463163967,0.012516102848920593,676.7
600,0.005808775052782653,0.0016066461390494297,0.7490395594193813,0.43569613350170694,23.22109943500116,0.005984343932085898,0.04246988853630096,0.027180332927161977,0.0049125458339464665,0.0007009999386627285,0.436571318061383,0.013624615919595273,812.88
700,0.0056867405631958415,0.0014896107962977568,0.7631564243777689,0.45017557445562206,22.479272572859955,0.004362348449223785,0.042528297964093645,0.0269985023551483,0.0045768114165466185,0.00046171049592614157,0.45100790164385696,0.013115362723436993,946.42
800,0.0055551857194908886,0.0013575301452215128,0.7495468247066653,0.44557782760213316,21.902511015931907,0.00414044029657373,0.040307506178190955,0.027459875947652854,0.004493912334650929,0.00039375597530548706,0.4464459603687062,0.01314512444506349,1080.16
900,0.005400929492219391,0.001207930255100742,0.7536567086814556,0.4498746714092599,22.699608053345184,0.004010330799333702,0.035407719746847956,0.026788429097334764,0.0041359957941549666,0.0003664996563070949,0.45069067074025376,0.012826732345019964,1212.45
1000,0.005240904656752452,0.0010512448726559976,0.7713307192526373,0.4661687353900547,22.892831437873284,0.003618145739544488,0.036631887768299065,0.026849257558094714,0.003784179969574248,0.0003495115814108117,0.4669567588792044,0.015503368006078613,1348.31
1100,0.00511381348350122,0.0009242894621773813,0.7678190688641431,0.47467223903644307,21.981374509917206,0.0036398763522071348,0.03803396015457728,0.02722524830868153,0.003605420418736444,0.0003239418370581705,0.47546614248761093,0.015645090015683035,1483.19
1200,0.004991940894572927,0.000805977652193509,0.7842653054912522,0.492044369261078,23.24639067620159,0.0031050077295299433,0.03740527635550506,0.02654289365291424,0.0032525940692989396,0.00022415454303956553,0.4927705512086135,0.016525803397996912,1617.21
1300,0.004856488817266464,0.00066854054417933,0.7654856771762124,0.4811517077738757,22.528564712719067,0.002500444622829741,0.03542625829986887,0.026565194164590314,0.0033281349869095024,0.00016532226849863693,0.4818960253505553,0.014897934945314436,1752.72
1400,0.004738615536240578,0.0005509439276328568,0.7468056082521869,0.46670841577882655,21.68451973493013,0.0025687221105909963,0.029520856127150163,0.02711503747882513,0.0033688712871419975,0.0001805206599244007,0.46750759619253046,0.016034981937735046,1886.08
1500,0.0046508495774472665,0.00046453565382042334,0.7595564065742983,0.480062900204504,21.76379721952776,0.0025197389820028507,0.02645119844656338,0.02682032064875953,0.003281133647359931,0.00020434911588085842,0.4808227587677551,0.017947343652384967,2021.93
1600,0.004593276150686575,0.000409547277351172,0.7858762066680793,0.4992967011977214,22.464375219566282,0.0026507989324924958,0.025908412944115305,0.026484626127888235,0.0030504775570589448,0.00021799443734258297,0.5000079841192154,0.019104310725560632,2147.95
1700,0.004560713679075786,0.0003776573457562851,0.7880680913432564,0.5011209350692788,22.505130561281497,0.0024537824552110996,0.024469339126974562,0.026977534829619464,0.002943940537987898,0.00020041376706789822,0.5018552439715669,0.019039953558142347,2269.02
1800,0.004527514914556272,0.0003465940034711215,0.8185964761749935,0.5220390108848377,23.979333677505576,0.002496091509794133,0.02351699253011874,0.02671686392780412,0.0028023212300619187,0.00017959794582642804,0.5227297628444885,0.01901447169912404,2392.34
1900,0.004505524013371299,0.00032445673114241233,0.8187411681783795,0.522178343047112,24.237103668489052,0.0024524199293588164,0.02298492721120087,0.026707835497674203,0.0028408301379505216,0.00016240523854335742,0.5228686518770582,0.01927442271693361,2506.4
2000,0.0044740221380102285,0.0002924680279995743,0.8101136600643845,0.5142050441815781,25.008406793434354,0.0017491757688165854,0.02231741985239058,0.026722216758445612,0.002910362393861793,0.00011784264458690573,0.514907164862188,0.018760322871500763,2628.31
2100,0.004451783832430502,0.0002699569999629488,0.8028831527434963,0.5088065473791638,25.093782258811768,0.0015728258809255364,0.022338377713313227,0.026500990407094874,0.003058248891743788,9.81635801849454e-05,0.5095054147610548,0.017912794088472298,2742.83
2200,0.004433004357845197,0.0002498750149850022,0.7897277796216446,0.4971736144308898,24.961828189997146,0.001421830105625813,0.02025783451089741,0.026394657352765576,0.0032561397380215344,9.155578403942387e-05,0.49788441595565136,0.017132746212504435,2841.15
2300,0.004429343327635282,0.00024565751011682653,0.7857279334770088,0.49397938964779176,24.970086121649963,0.00143776771328602,0.019876454571223216,0.02656960941803924,0.0033217279226394583,9.094721124681947e-05,0.494704582239966,0.01700129298347601,2878.28
2400,0.004429343327635282,0.00024565751011682653,0.7857279334770088,0.49397938964779176,24.970086121649963,0.00143776771328602,0.019876454571223216,0.02656960941803924,0.0033217279226394583,9.094721124681947e-05,0.494704582239966,0.01700129298347601,2884.66
2500,0.004429343327635282,0.00024565751011682653,0.7857279334770088,0.49397938964779176,24.970086121649963,0.00143776771328602,0.019876454571223216,0.02656960941803924,0.0033217279226394583,9.094721124681947e-05,0.494704582239966,0.01700129298347601,2891.01
2535,0.004429343327635282,0.00024565751011682653,0.7857279334770088,0.49397938964779176,24.970086121649963,0.00143776771328602,0.019876454571223216,0.02656960941803924,0.0033217279226394583,9.094721124681947e-05,0.494704582239966,0.01700129298347601,2893.63
