case_id,u1,u2,u3,u4,t_days,t_star,x_star,c_comsol_star,c_model_star,abs_err,rel_err
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.0,1.0,0.8137962818145752,0.1862037181854248,0.1862037181852386
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.02040816326530612,0.6974776144437437,0.6311084628105164,0.06636915163322732,0.09515595950138596
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.04081632653061224,0.40913889693848626,0.4402707815170288,0.031131884578542546,0.07609123652485945
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.061224489795918366,0.1974977540429723,0.2845768630504608,0.08707910900748853,0.4409118950694529
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.08163265306122448,0.07767392055461558,0.175254687666893,0.09758076711227742,1.2562873923997213
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.1020408163265306,0.025058242423949852,0.1048101857304573,0.07975194330650745,3.1826630916101473
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.12244897959183673,0.006773001166611723,0.061585165560245514,0.05481216439363379,8.092743975262223
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.14285714285714285,0.0015770511372708025,0.03580942004919052,0.03423236891191972,21.706568722593655
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.16326530612244897,0.00032519632983823293,0.020699044689536095,0.02037384835969786,62.65091708501692
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.17500000000000002,0.00012691342737866952,0.015082060359418392,0.014955146932039722,117.83738823458692
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.17954545454545456,8.15669898755142e-05,0.013339580968022346,0.013258013978146832,162.54141333202952
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.18367346938775508,6.083078207013543e-05,0.011931796558201313,0.011870965776131177,195.14734443652375
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.1840909090909091,5.8989695245696226e-05,0.01179796177893877,0.011738972083693074,199.0003819446608
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.18863636363636366,3.894230537958225e-05,0.010434308089315891,0.010395365783936308,266.94273530205385
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.1931818181818182,2.685360545509506e-05,0.009228342212736607,0.009201488607281512,342.6537371309272
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.19772727272727275,1.8175772648447848e-05,0.008161994628608227,0.00814381885595978,448.0589939925465
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.20227272727272727,1.1993540517369875e-05,0.0072191939689219,0.00720720042840453,600.9234568427154
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.2040816326530612,1.052641167283067e-05,0.006875147111713886,0.006864620700041056,652.1329643249758
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.20681818181818182,8.306909061861064e-06,0.006385748740285635,0.006377441831223774,767.727323846213
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.21136363636363636,5.264170054971282e-06,0.005649009719491005,0.0056437455494360335,1072.105273651071
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.2159090909090909,3.7238467615258897e-06,0.004997819662094116,0.00499409581533259,1341.1117035800094
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.22045454545454546,2.274147859476542e-06,0.004422222729772329,0.004419948581912853,1943.561681767053
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.22448979591836732,1.7112406552399022e-06,0.00396752217784524,0.003965810937189999,2317.504909401019
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.225,1.640068479991586e-06,0.003913507331162691,0.0039118672626827,2385.183865931563
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.24489795918367346,2.644877710233409e-07,0.002296929247677326,0.0022966647599063027,8683.411212582723
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.26530612244897955,3.922501013406912e-08,0.0013360826997086406,0.0013360434746985065,34060.14198568993
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.2857142857142857,5.6216387303987895e-09,0.0007819794700480998,0.0007819738484093694,139075.95453032196
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.3061224489795918,7.828555439235271e-10,0.000461111543700099,0.0004611107608445551,588259.870608941
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.32653061224489793,1.0637985316453798e-10,0.0002742692013271153,0.00027426909494726213,2554195.101449804
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.3469387755102041,1.4152262892823338e-11,0.00016472802963107824,0.00016472801547881536,10871512.502389101
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.36734693877551017,1.8479649484205852e-12,9.999285248341039e-05,9.999285063544544e-05,35110281.35753537
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.375,8.68586169154686e-13,8.316261664731428e-05,8.316261577872811e-05,44505635.946320504
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.3795454545454546,5.032362367522576e-13,7.459740299964324e-05,7.4597402496407e-05,49624537.163616225
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.3840909090909091,3.45697835980812e-13,6.695342744933441e-05,6.695342710363658e-05,49753685.64432414
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.3877551020408163,2.373160990764453e-13,6.139175820862874e-05,6.139175797131265e-05,49616874.79629219
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.38863636363636367,2.1124960539058343e-13,6.0127982578705996e-05,6.012798236745639e-05,49641281.28493163
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.3931818181818182,1.3639172441165585e-13,5.403066097642295e-05,5.4030660840031225e-05,47545806.3266032
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.39772727272727276,8.707256469471286e-14,4.858078682445921e-05,4.858078673738664e-05,44689552.76323231
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.4022727272727273,5.339413069237797e-14,4.370710303192027e-05,4.370710297852614e-05,41491690.24683877
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.40681818181818186,3.535642240465037e-14,3.934652340831235e-05,3.934652337295593e-05,38002877.5806232
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.4081632653061224,3.0018733217466045e-14,3.814593583228998e-05,3.8145935802271246e-05,37034215.56529842
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.4113636363636364,2.0756442517830533e-14,3.544273931765929e-05,3.544273929690285e-05,34722033.4064007
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.41590909090909095,1.4177828899794502e-14,3.194614328094758e-05,3.1946143266769754e-05,31499548.063898943
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.4204545454545455,8.017772880895556e-15,2.8812513846787624e-05,2.881251383876985e-05,28583339.11754774
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.42500000000000004,5.624735254229632e-15,2.600252082629595e-05,2.6002520820671214e-05,25857081.582323626
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.42857142857142855,3.744491404706431e-15,2.3999054974410683e-05,2.399905497066619e-05,23909525.956232473
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.44897959183673464,4.609931687394011e-16,1.5292920579668134e-05,1.5292920579207142e-05,15285873.895762984
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.4693877551020408,5.604553174361652e-17,9.872964255919214e-06,9.87296425586317e-06,9872410.95134181
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.4897959183673469,6.730719312814143e-18,6.458459210989531e-06,6.458459210982801e-06,6458415.741199241
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.5102040816326531,8.180723557341778e-19,4.281253495719284e-06,4.281253495718466e-06,4281249.9933461975
