epoch,train_total,train_pde,proxy_pde_p90,proxy_pde_p50,proxy_pde_rms_excl,proxy_ic_rms,proxy_inlet_rms,proxy_outlet_rms,proxy_combined,wall_s
0,nan,nan,0.5052391211500437,0.08022189462404056,0.2631427637776072,0.7716359245600365,0.5435886701556456,0.876564848117921,1.3836701720025868,0.45
100,0.005200484997325078,0.0007954888650952002,0.03194331875477567,0.0005397800693989208,0.05706830316377072,0.029173189240490227,0.011936807798252968,5.2795302938557194e-08,0.04487692017001477,133.02
200,0.004818646912683708,0.0005457734716753591,0.027145575724736526,0.0009051625071552511,0.048955810731305484,0.028606527289572435,0.00840790943283856,7.465447331974983e-08,0.04032255728538117,264.17
300,0.004692578382838044,0.0004466609715823557,0.021378530607849444,0.000960956572538807,0.049057331564270855,0.02868588125036608,0.00735061700070102,4.186428913115297e-08,0.03652332028106984,395.88
400,0.004644500120074745,0.00041363328096735946,0.021380991760022436,0.0009606085997169677,0.053819846316571746,0.028357585523208675,0.007004630119120268,4.8880359259471944e-08,0.03619895452159244,509.6
500,0.004613553563994031,0.0003918650177440374,0.02132386390938218,0.0009920383257829948,0.06474874408794482,0.028178546500040105,0.006503298661492399,5.063428056144853e-08,0.03593091354758333,614.96
600,0.004613553563994031,0.0003918650177440374,0.02132386390938218,0.0009920383257829948,0.06474874408794482,0.028178546500040105,0.006503298661492399,5.063428056144853e-08,0.03593091354758333,620.5
700,0.004613553563994031,0.0003918650177440374,0.02132386390938218,0.0009920383257829948,0.06474874408794482,0.028178546500040105,0.006503298661492399,5.063428056144853e-08,0.03593091354758333,625.43
800,0.004613553563994031,0.0003918650177440374,0.02132386390938218,0.0009920383257829948,0.06474874408794482,0.028178546500040105,0.006503298661492399,5.063428056144853e-08,0.03593091354758333,630.54
888,0.004613553563994031,0.0003918650177440374,0.02132386390938218,0.0009920383257829948,0.06474874408794482,0.028178546500040105,0.006503298661492399,5.063428056144853e-08,0.03593091354758333,636.47
