epoch,train_total,train_pde,proxy_pde_p90,proxy_pde_p50,proxy_pde_rms_excl,proxy_ic_rms,proxy_inlet_rms,proxy_outlet_rms,proxy_combined,wall_s
0,nan,nan,0.6799978843849261,0.31416398763058473,0.4069287876843497,0.6839975737705427,0.7863933142086275,0.6383541049968613,1.398627974727496,0.47
100,0.004695990985192188,0.0002417090022140194,0.019580632245856072,0.00032771306895723693,0.023090051257569553,0.0317382702649056,0.012613317852952267,6.74907329000144e-06,0.03936768714777698,132.58
200,0.004560957749996767,0.00019310885097286335,0.01796363157192088,0.00038898597260906545,0.024452222692634456,0.030611745805230604,0.011689761722490333,3.1251576150008007e-06,0.03736872461552543,261.41
300,0.004476356062364008,0.00018745578941170316,0.017520281373037933,0.00039530362894424353,0.03723705157039645,0.029533194092863133,0.00931113835108094,2.8592081773720465e-06,0.03557902638191758,389.31
400,0.004420853211418582,0.00016775329869529179,0.01615787551707659,0.0006492055436372233,0.03808214005410387,0.029025360893685157,0.007992409639600158,3.6849690023459277e-06,0.0341676329537207,508.21
500,0.004406709056647474,0.000158967626156465,0.01593145591347342,0.0005889435241233643,0.03844438164301544,0.02874445670353764,0.007789768223887905,3.1882476089072546e-06,0.033774777243548375,565.77
600,0.004406709056647474,0.000158967626156465,0.01593145591347342,0.0005889435241233643,0.03844438164301544,0.02874445670353764,0.007789768223887905,3.1882476089072546e-06,0.033774777243548375,571.93
700,0.004406709056647474,0.000158967626156465,0.01593145591347342,0.0005889435241233643,0.03844438164301544,0.02874445670353764,0.007789768223887905,3.1882476089072546e-06,0.033774777243548375,576.75
800,0.004406709056647474,0.000158967626156465,0.01593145591347342,0.0005889435241233643,0.03844438164301544,0.02874445670353764,0.007789768223887905,3.1882476089072546e-06,0.033774777243548375,581.46
854,0.004406709056647474,0.000158967626156465,0.01593145591347342,0.0005889435241233643,0.03844438164301544,0.02874445670353764,0.007789768223887905,3.1882476089072546e-06,0.033774777243548375,584.54
