epoch,train_total,train_pde,proxy_pde_p90,proxy_pde_p50,proxy_pde_rms_excl,proxy_ic_rms,proxy_inlet_rms,proxy_outlet_rms,proxy_combined,wall_s
0,nan,nan,0.28546686525522397,0.19386986128135808,0.21657440400978636,0.7044646158592018,0.2098063163914488,0.8160403236356667,1.134769679870523,0.45
100,0.005210646602745427,0.0008600717682168363,0.041069756160572325,0.0033659307531273015,0.03313913602654888,0.029728177288636335,0.008747975931765978,6.80727170007986e-05,0.05144920905894491,133.82
200,0.005013159774408541,0.0007219120375434036,0.034856018563292346,0.0023740245083162803,0.03881982229498672,0.029344500566482818,0.007682218355301273,3.670330522993143e-05,0.046206704811878045,265.98
300,0.004917046907998717,0.0006534699036798941,0.030859698744363062,0.0018889004496398924,0.04590936289874083,0.028588264912745475,0.007248141799005238,2.1900816645870597e-05,0.04268660136973209,399.77
400,0.00485912209075404,0.0006062306912714869,0.029985399264792968,0.0020572066416306087,0.04652446843412933,0.027387143784340557,0.007083138579112506,2.2072715734586573e-05,0.041223187080439115,528.8
500,0.004808465690834274,0.0005630131456519043,0.028089180536200527,0.0023957242599884185,0.050955166673950614,0.02751659262111681,0.006928294716843103,2.095345603790996e-05,0.039927016409976375,650.24
600,0.00478941208513262,0.0005454112167774952,0.026948956666129842,0.002176159338032578,0.05108167660748465,0.02783089326076029,0.006871205494936028,2.0282172973685295e-05,0.039344869569042366,753.57
700,0.004770851920531373,0.0005320906605457606,0.02551404983527146,0.0020771059569737707,0.05214838861455665,0.027281851150478518,0.006755830459961864,1.8345499117473756e-05,0.037959290337869434,857.73
800,0.004752504605572903,0.0005144943080743305,0.024791434356706436,0.0018716272084077223,0.05433733531991756,0.02717829705693708,0.006751056989009994,1.7283926313849607e-05,0.03740123149818691,958.29
900,0.0047489853990939504,0.0005113303155251199,0.024318692015241394,0.0018084774236713608,0.054133442665374315,0.02710713098999277,0.0067202754729195815,1.7060126457144594e-05,0.0370318474467671,985.86
1000,0.0047489853990939504,0.0005113303155251199,0.024318692015241394,0.0018084774236713608,0.054133442665374315,0.02710713098999277,0.0067202754729195815,1.7060126457144594e-05,0.0370318474467671,992.28
1100,0.0047489853990939504,0.0005113303155251199,0.024318692015241394,0.0018084774236713608,0.054133442665374315,0.02710713098999277,0.0067202754729195815,1.7060126457144594e-05,0.0370318474467671,998.97
1200,0.0047489853990939504,0.0005113303155251199,0.024318692015241394,0.0018084774236713608,0.054133442665374315,0.02710713098999277,0.0067202754729195815,1.7060126457144594e-05,0.0370318474467671,1005.55
1223,0.0047489853990939504,0.0005113303155251199,0.024318692015241394,0.0018084774236713608,0.054133442665374315,0.02710713098999277,0.0067202754729195815,1.7060126457144594e-05,0.0370318474467671,1007.31
