case_id,u1,u2,u3,u4,t_days,t_star,x_star,c_comsol_star,c_model_star,abs_err,rel_err
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.0,1.0,0.9859966383306084,0.014003361669391645,0.01400336166937764
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.02040816326530612,0.6974776144437437,0.7679971410520186,0.07051952660827487,0.10110650886539908
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.04081632653061224,0.40913889693848626,0.4874935512760997,0.07835465433761346,0.1915111345407047
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.061224489795918366,0.1974977540429723,0.2622954565270384,0.0647977024840661,0.32809336388523735
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.08163265306122448,0.07767392055461558,0.1173877900786979,0.03971386952408232,0.5112896225657445
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.1020408163265306,0.025058242423949852,0.04371719034253398,0.01865894791858413,0.7446231703786972
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.12244897959183673,0.006773001166611723,0.013512906424867275,0.0067399052582555515,0.9951135532776171
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.14285714285714285,0.0015770511372708025,0.003395964983674164,0.0018189138464033614,1.1533638968725868
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.16326530612244897,0.00032519632983823293,0.0006634665139692304,0.00033827018413099745,1.0402029545015625
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.17500000000000002,0.00012691342737866952,0.0002257271219002357,9.881369452156618e-05,0.7785913262601132
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.17954545454545456,8.15669898755142e-05,0.0001440634395390559,6.249644966354169e-05,0.766197808607681
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.18367346938775508,6.083078207013543e-05,9.425445940961892e-05,3.342367733948349e-05,0.5494533466871097
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.1840909090909091,5.8989695245696226e-05,9.021503843881345e-05,3.122534319311723e-05,0.5293355480770995
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.18863636363636366,3.894230537958225e-05,5.5378417558688585e-05,1.6436112179106333e-05,0.4220631417897711
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.1931818181818182,2.685360545509506e-05,3.3289944609580374e-05,6.436339154485313e-06,0.23968248604701348
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.19772727272727275,1.8175772648447848e-05,1.957792927205736e-05,1.4021566236095128e-06,0.07714426085677252
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.20227272727272727,1.1993540517369875e-05,1.1253049699654942e-05,7.404908177149331e-07,0.06174079746524437
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.2040816326530612,1.052641167283067e-05,8.968067940439563e-06,1.558343732391108e-06,0.14804129201710767
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.20681818181818182,8.306909061861064e-06,6.315290759890602e-06,1.9916183019704617e-06,0.2397544077327188
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.21136363636363636,5.264170054971282e-06,3.4570838834170807e-06,1.8070861715542013e-06,0.3432802909866802
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.2159090909090909,3.7238467615258897e-06,1.8441682715684498e-06,1.8796784899574399e-06,0.504767812846146
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.22045454545454546,2.274147859476542e-06,9.57757071577203e-07,1.316390787899339e-06,0.5788498771370414
