case_id,u1,u2,u3,u4,t_days,t_star,x_star,c_comsol_star,c_model_star,abs_err,rel_err
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.0,1.0,0.9706885245750777,0.029311475424922295,0.029311475424892982
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.02040816326530612,0.6974776144437437,0.7104983189661254,0.013020704522381688,0.018668275873982516
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.04081632653061224,0.40913889693848626,0.42539635483349564,0.016257457895009375,0.0397357914796694
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.061224489795918366,0.1974977540429723,0.21531552480315885,0.017817770760186563,0.09021758675908531
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.08163265306122448,0.07767392055461558,0.08980612998149025,0.012132209426874666,0.15619411689394302
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.1020408163265306,0.025058242423949852,0.030953137153948315,0.005894894729998462,0.23524773326197318
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.12244897959183673,0.006773001166611723,0.008771982647269954,0.0019989814806582306,0.2951396923150252
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.14285714285714285,0.0015770511372708025,0.001954734817335902,0.0003776836800650997,0.23948727526947572
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.16326530612244897,0.00032519632983823293,0.000356727091609482,3.1530761771249045e-05,0.09695915599654734
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.17500000000000002,0.00012691342737866952,0.0001360984406988663,9.185013320196794e-06,0.07237227326955206
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.17954545454545456,8.15669898755142e-05,9.565931891347377e-05,1.4092329037959571e-05,0.17277000029910364
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.18367346938775508,6.083078207013543e-05,7.03240366899889e-05,9.493254619853466e-06,0.156060042970483
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.1840909090909091,5.8989695245696226e-05,6.821572185931161e-05,9.22602661361538e-06,0.15640064622791633
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.18863636363636366,3.894230537958225e-05,4.93529556804863e-05,1.0410650300904045e-05,0.26733522661519676
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.1931818181818182,2.685360545509506e-05,3.617666694794269e-05,9.323061492847627e-06,0.3471809832484798
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.19772727272727275,1.8175772648447848e-05,2.6812895596448026e-05,8.637122948000178e-06,0.47519974197839776
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.20227272727272727,1.1993540517369875e-05,2.0048049109470446e-05,8.054508592100571e-06,0.671570493205487
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.2040816326530612,1.052641167283067e-05,1.788712343971135e-05,7.36071176688068e-06,0.6992611819104468
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.20681818181818182,8.306909061861064e-06,1.507388842764308e-05,6.766979365782016e-06,0.8146205165806207
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.21136363636363636,5.264170054971282e-06,1.1392482832909317e-05,6.128312777938035e-06,1.1641553273901861
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.2159090909090909,3.7238467615258897e-06,8.666900197845751e-06,4.943053436319861e-06,1.32740481160121
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.22045454545454546,2.274147859476542e-06,6.649978241409238e-06,4.375830381932696e-06,1.9241618083610912
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.22448979591836732,1.7112406552399022e-06,5.302640428742381e-06,3.5913997735024785e-06,2.0987098826781385
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.225,1.640068479991586e-06,5.156328947382087e-06,3.516260467390501e-06,2.1439704294775
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.24489795918367346,2.644877710233409e-07,1.9543338197710736e-06,1.6898460487477328e-06,6.389103182753288
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.26530612244897955,3.922501013406912e-08,8.954365433570214e-07,8.562115332229523e-07,21.82764778514406
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.2857142857142857,5.6216387303987895e-09,4.786626443905694e-07,4.7304100566017065e-07,84.13149560946802
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.3061224489795918,7.828555439235271e-10,2.8530585112317774e-07,2.845229955792542e-07,362.97886490040855
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.32653061224489793,1.0637985316453798e-10,1.8351828354408715e-07,1.8341190369092262e-07,1708.0662553140285
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.3469387755102041,1.4152262892823338e-11,1.2367631014151312e-07,1.236621578786203e-07,8161.299652290958
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.36734693877551017,1.8479649484205852e-12,8.488494847842583e-08,8.48831005134774e-08,29804.82627096643
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.375,8.68586169154686e-13,7.36966773432621e-08,7.369580875709294e-08,39439.34187976548
0,0.01,0.01,0.01,0.01,100.0,0.08333333333333333,0.3795454545454546,5.032362367522576e-13,6.771706366507492e-08,6.771656042883817e-08,45047.18471604957
