epoch,total_loss,pde_loss,ic_loss,inlet_bc_loss,outlet_bc_loss
1,1.477056860923767,0.09249556809663773,0.06971938163042068,1.1618428230285645,0.15299902856349945
2,1.4267677068710327,0.08058597892522812,0.06551846116781235,1.1431227922439575,0.13754042983055115
3,1.378496527671814,0.07059530168771744,0.06168194115161896,1.1229324340820312,0.12328682839870453
4,1.3320727348327637,0.06215619295835495,0.05817243829369545,1.1015918254852295,0.1101522222161293
5,1.2873739004135132,0.05497772619128227,0.0549626462161541,1.0793771743774414,0.09805627167224884
6,1.2442994117736816,0.0488739013671875,0.052039362490177155,1.056443214416504,0.0869428887963295
7,1.2027513980865479,0.04372618719935417,0.04939699172973633,1.0328576564788818,0.07677052915096283
8,1.1626322269439697,0.03943635895848274,0.047029152512550354,1.008669137954712,0.06749764084815979
9,1.123852014541626,0.03590887784957886,0.044925589114427567,0.9839405417442322,0.059077002108097076
10,1.0863313674926758,0.03305203467607498,0.0430728904902935,0.9587494134902954,0.05145701766014099
11,1.0500050783157349,0.030781639739871025,0.04145575687289238,0.9331836104393005,0.044584039598703384
12,1.0148212909698486,0.029022516682744026,0.04005780071020126,0.9073370099067688,0.03840404376387596
13,0.9807404279708862,0.02770841307938099,0.03886213153600693,0.8813059329986572,0.032863978296518326
14,0.9477339386940002,0.02678128331899643,0.0378517284989357,0.8551881909370422,0.027912737801671028
15,0.9157819151878357,0.02619028277695179,0.037009723484516144,0.8290799856185913,0.023501943796873093
16,0.8848711252212524,0.025890449061989784,0.03631963953375816,0.8030745387077332,0.019586512818932533
17,0.8549933433532715,0.025841424241662025,0.035765502601861954,0.7772613763809204,0.016125047579407692
18,0.8261424899101257,0.026006026193499565,0.035331908613443375,0.7517245411872864,0.013079983182251453
19,0.7983131408691406,0.02634921856224537,0.0350041426718235,0.7265419960021973,0.010417764075100422
20,0.7715001702308655,0.026837151497602463,0.0347682386636734,0.7017859816551208,0.008108820766210556
21,0.7456963062286377,0.027436599135398865,0.03461100533604622,0.6775211691856384,0.006127524189651012
22,0.7208917140960693,0.028114672750234604,0.03452017530798912,0.6538048386573792,0.00445204135030508
23,0.6970743536949158,0.02883869782090187,0.03448440879583359,0.6306871175765991,0.003064099233597517
24,0.6742287874221802,0.029576413333415985,0.03449339419603348,0.6082102656364441,0.001948743243701756
25,0.6523370742797852,0.03029651567339897,0.03453792631626129,0.5864086151123047,0.001094008213840425
26,0.6313785314559937,0.030969347804784775,0.03461002558469772,0.5653085708618164,0.0004905832465738058
27,0.6113304495811462,0.03156793862581253,0.03470303863286972,0.5449280738830566,0.0001314108376391232
28,0.5921694040298462,0.03206906095147133,0.03481177240610123,0.525277316570282,1.1238918887102045e-05
29,0.573870837688446,0.03245425969362259,0.03493255004286766,0.5063579082489014,0.0001261107245227322
30,0.5564106106758118,0.03271065279841423,0.035063236951828,0.48816385865211487,0.0004728148924186826
31,0.5397650599479675,0.03283146396279335,0.03520326688885689,0.4706820249557495,0.001048312522470951
32,0.5239120721817017,0.03281616047024727,0.03535345941781998,0.4538933038711548,0.0018491727532818913
33,0.508830189704895,0.03267010673880577,0.035515934228897095,0.4377731382846832,0.0028710521291941404
34,0.4944993257522583,0.03240406885743141,0.03569386154413223,0.42229315638542175,0.0041082375682890415
35,0.4809000492095947,0.03203321620821953,0.035891253501176834,0.4074223041534424,0.005553286522626877
36,0.46801334619522095,0.03157605603337288,0.036112699657678604,0.39312779903411865,0.007196769583970308
37,0.455820232629776,0.03105330839753151,0.03636310249567032,0.3793766498565674,0.009027145802974701
38,0.4443012475967407,0.030486609786748886,0.03664741292595863,0.36613646149635315,0.011030768044292927
39,0.4334363341331482,0.029897436499595642,0.036970410495996475,0.35337650775909424,0.013192009180784225
40,0.423204630613327,0.029306093230843544,0.03733649477362633,0.3410685360431671,0.015493505634367466
41,0.4135841727256775,0.02873087115585804,0.03774946555495262,0.3291873037815094,0.017916535958647728
42,0.40455231070518494,0.02818743698298931,0.03821242228150368,0.3177109956741333,0.020441433414816856
43,0.3960857093334198,0.027688391506671906,0.03872765228152275,0.30662158131599426,0.023048076778650284
44,0.388160765171051,0.027242951095104218,0.03929651528596878,0.29590484499931335,0.025716448202729225
45,0.3807537257671356,0.026856955140829086,0.03991946950554848,0.28555020689964294,0.028427081182599068
46,0.37384095788002014,0.026532841846346855,0.04059601575136185,0.27555051445961,0.03116156905889511
47,0.36739909648895264,0.026269882917404175,0.041324738413095474,0.2659015357494354,0.03390294313430786
48,0.3614053726196289,0.026064448058605194,0.04210338741540909,0.25660160183906555,0.036635950207710266
49,0.3558373749256134,0.025910358875989914,0.04292893409729004,0.24765080213546753,0.03934725373983383
50,0.3506729304790497,0.025799350813031197,0.043797679245471954,0.23905038833618164,0.042025502771139145
51,0.3458903729915619,0.025721533223986626,0.04470536857843399,0.23080217838287354,0.04466129094362259
52,0.34146812558174133,0.02566598542034626,0.04564733803272247,0.22290785610675812,0.04724697023630142
53,0.33738481998443604,0.025621281936764717,0.04661867022514343,0.21536844968795776,0.04977644607424736
54,0.33361920714378357,0.02557610534131527,0.04761432483792305,0.2081839144229889,0.05224486067891121
55,0.3301500678062439,0.025519847869873047,0.04862932488322258,0.20135264098644257,0.0546482652425766
56,0.32695648074150085,0.025443119928240776,0.04965885728597641,0.19487127661705017,0.056983232498168945
