epoch,train_total,train_pde,proxy_pde_rms,proxy_pde_max,proxy_ic_rms,proxy_inlet_rms,proxy_outlet_rms,proxy_combined,true_rel_l2,wall_s
0,nan,nan,0.2462026412908125,0.6813052090864189,0.701094761542767,0.3067859838142603,0.8434849864441628,1.16521850631668,3.0359682605633824,0.52
100,0.0063582384257614,0.0017028745626879323,0.44272430295126847,36.26936583197712,0.033676916840965146,0.012598433886553219,2.265059053059232e-07,0.4441820163942311,0.01702500640422743,135.45
200,0.005741557265235716,0.0013367617229451663,0.5778142254661491,48.84031752997137,0.03193033739144854,0.009089787445195603,2.5525599500981076e-07,0.5787671810260508,0.013358655837376424,269.44
300,0.0055248639725849116,0.001240733078033872,0.6547286854452666,58.25827360766232,0.02920892116380276,0.00812008917775465,1.378332936256759e-06,0.6554302010668982,0.013599657850233737,404.09
400,0.0054342646753471795,0.001186925865840394,0.6844934457210625,61.532811986386896,0.02791078247521673,0.007303697855942934,1.5588801998845773e-06,0.6851011845109254,0.013722220774386906,538.01
500,0.005355111219833944,0.0011259763599767091,0.7411973418720217,64.57514453449947,0.02653586001148138,0.006808756567168935,1.004065423749585e-06,0.7417034519480806,0.013283810868400414,671.05
600,0.00528055131265041,0.0010683984419466385,0.8060873694508991,68.0414244343502,0.025527592794733576,0.006044287732208371,8.688521849610683e-07,0.8065141279587784,0.012482012536195476,804.43
700,0.0052221903873700985,0.0010197773341212467,0.8488766734151009,70.78236382831871,0.025459939241986675,0.005533105471082437,8.813806512259124e-07,0.8492764157984279,0.01265309436072089,935.14
800,0.005183907093754007,0.0009861846714700358,0.8631028795386412,75.01496761058331,0.025502060924801957,0.005193501083798305,8.162065959967708e-07,0.8634951697800516,0.0125350467457068,1062.25
900,0.0051376201324434415,0.0009429308894442329,0.8808224165949049,79.4757378894873,0.02510766931312776,0.005021021862606473,7.276135598903367e-07,0.8811944934550486,0.011216023442968074,1193.6
1000,0.005103865181813707,0.000911513565505975,0.8879838788714083,81.65197112053787,0.024980039165271813,0.004794351588686061,6.960248740743371e-07,0.8883481059246149,0.01101982324010574,1320.12
1100,0.005094248960549719,0.0009016640020288187,0.8912646308680175,82.65682159836236,0.024763898755185944,0.0047753841064215406,7.030442826209935e-07,0.8916213866948901,0.01057823907025293,1374.11
1200,0.005094248960549719,0.0009016640020288187,0.8912646308680175,82.65682159836236,0.024763898755185944,0.0047753841064215406,7.030442826209935e-07,0.8916213866948901,0.01057823907025293,1380.75
1300,0.005094248960549719,0.0009016640020288187,0.8912646308680175,82.65682159836236,0.024763898755185944,0.0047753841064215406,7.030442826209935e-07,0.8916213866948901,0.01057823907025293,1387.59
1342,0.005094248960549719,0.0009016640020288187,0.8912646308680175,82.65682159836236,0.024763898755185944,0.0047753841064215406,7.030442826209935e-07,0.8916213866948901,0.01057823907025293,1390.59
