epoch,train_total,train_pde,proxy_pde_p90,proxy_pde_p50,proxy_pde_rms_excl,proxy_ic_rms,proxy_inlet_rms,proxy_outlet_rms,proxy_combined,wall_s
0,nan,nan,0.3495884232627229,0.11200594565785423,0.19416616250728222,0.8658435577756728,0.4059342567246733,0.8771576359568636,1.3439067197246237,0.44
100,0.006036600657177729,0.000832781311295418,0.04116028427911833,0.002718926939858462,0.050757821909248206,0.03767688304998058,0.01796781343045001,5.176163033499328e-05,0.05862219304186414,133.25
200,0.004753826439894047,0.0002916701868713495,0.02515884488170217,0.0019427441844723386,0.04829049897665367,0.03153155704435628,0.01079655325110591,2.802179384572715e-05,0.041758507070391554,264.91
300,0.004488286169660901,0.00018480390735720704,0.018910008117665855,0.0018869024993867158,0.046642259449867426,0.030062656101324768,0.00784708909438081,6.926587168749212e-05,0.036372150113690535,396.78
400,0.004392571520318149,0.00013118941365186738,0.016449647198060247,0.0020201746867366506,0.04554049289989958,0.02921809279914135,0.006935833525178262,9.908043109306366e-05,0.03424037738373657,528.92
500,0.00435581510677386,0.00011489072152918233,0.015242144611810685,0.0016958704466950927,0.048579375222515174,0.029172900953226066,0.006294944213130424,7.79505758045271e-05,0.033511393903160464,655.4
600,0.004342430774494962,0.00011137951343394402,0.016077714148555317,0.001738952561444622,0.050398160260046405,0.02904874847804267,0.005978166524550048,6.266952099077054e-05,0.0337352202134113,715.16
700,0.004342430774494962,0.00011137951343394402,0.016077714148555317,0.001738952561444622,0.050398160260046405,0.02904874847804267,0.005978166524550048,6.266952099077054e-05,0.0337352202134113,721.61
800,0.004342430774494962,0.00011137951343394402,0.016077714148555317,0.001738952561444622,0.050398160260046405,0.02904874847804267,0.005978166524550048,6.266952099077054e-05,0.0337352202134113,727.69
900,0.004342430774494962,0.00011137951343394402,0.016077714148555317,0.001738952561444622,0.050398160260046405,0.02904874847804267,0.005978166524550048,6.266952099077054e-05,0.0337352202134113,732.6
944,0.004342430774494962,0.00011137951343394402,0.016077714148555317,0.001738952561444622,0.050398160260046405,0.02904874847804267,0.005978166524550048,6.266952099077054e-05,0.0337352202134113,734.87
