epoch,total_loss,pde_loss,ic_loss,inlet_bc_loss,outlet_bc_loss
1,1.0857555866241455,0.004901558626443148,5.512090865522623e-05,1.0806519985198975,0.00014686760550830513
2,1.062254548072815,0.0031111184507608414,0.00023614057863596827,1.058851718902588,5.5578631872776896e-05
3,1.039607048034668,0.0017504539573565125,0.0005433360929600894,1.0373024940490723,1.0677050340746064e-05
4,1.0178008079528809,0.0008178267744369805,0.0009652904700487852,1.0160105228424072,7.153549631766509e-06
5,0.9967806339263916,0.000289510702714324,0.0014786808751523495,0.9949807524681091,3.170841227984056e-05
6,0.9764405488967896,0.0001082246599253267,0.002048453548923135,0.9742206931114197,6.316610233625397e-05
7,0.9566434621810913,0.0001872415596153587,0.0026357711758464575,0.953740119934082,8.036057988647372e-05
8,0.9372668862342834,0.00043388892663642764,0.0032122815027832985,0.9335469007492065,7.377794099738821e-05
9,0.9182360768318176,0.0007753244135528803,0.0037660563830286264,0.9136456251144409,4.905664172838442e-05
10,0.8995214700698853,0.0011650945525616407,0.004296328406780958,0.8940391540527344,2.0894220142508857e-05
11,0.8811181783676147,0.001576444716192782,0.004806931130588055,0.8747285008430481,6.321305136225419e-06
12,0.8630319833755493,0.0019944868981838226,0.005302779376506805,0.8557134866714478,2.1217567336861975e-05
13,0.8452721238136292,0.0024110754020512104,0.0057885958813130856,0.8369932770729065,7.915705646155402e-05
14,0.8278483152389526,0.0028219602536410093,0.006268623750656843,0.8185664415359497,0.0001912462612381205
15,0.8107691407203674,0.0032252580858767033,0.006746639963239431,0.800430953502655,0.00036627406370826066
16,0.7940421104431152,0.0036206133663654327,0.0072260657325387,0.7825844883918762,0.0006109215901233256
17,0.7776728272438049,0.004008719697594643,0.0077100591734051704,0.7650241255760193,0.0009299514931626618
18,0.761665940284729,0.00439100619405508,0.00820158887654543,0.7477469444274902,0.0013263787841424346
19,0.7460242509841919,0.004769422113895416,0.008703471161425114,0.7307497262954712,0.0018016264075413346
20,0.7307497262954712,0.005146256182342768,0.009218374267220497,0.7140293717384338,0.0023556866217404604
21,0.7158427834510803,0.005523974541574717,0.009748798795044422,0.6975827217102051,0.002987291431054473
22,0.7013031840324402,0.00590509083122015,0.010297068394720554,0.6814069151878357,0.003694104729220271
23,0.6871297955513,0.006292081903666258,0.010865317657589912,0.6654995679855347,0.004472880624234676
24,0.6733207702636719,0.0066873496398329735,0.011455511674284935,0.649858295917511,0.005319611169397831
25,0.6598737835884094,0.007093215361237526,0.012069476768374443,0.6344814300537109,0.006229644175618887
26,0.6467860341072083,0.007511915173381567,0.012708925642073154,0.6193674206733704,0.007197790313512087
27,0.6340542435646057,0.007945592515170574,0.013375474140048027,0.6045147776603699,0.008218429051339626
28,0.6216750144958496,0.008396274410188198,0.01407064963132143,0.5899224877357483,0.00928562507033348
29,0.6096442937850952,0.00886583048850298,0.014795872382819653,0.5755892992019653,0.010393264703452587
30,0.5979581475257874,0.009355925023555756,0.015552455559372902,0.5615146160125732,0.011535193771123886
31,0.5866122245788574,0.009867951273918152,0.01634155958890915,0.5476973056793213,0.012705368921160698
32,0.5756022334098816,0.010402973741292953,0.017164183780550957,0.5341370701789856,0.013898010365664959
33,0.564923882484436,0.010961673222482204,0.018021145835518837,0.5208333134651184,0.015107723884284496
