epoch,train_total,train_pde,proxy_pde_rms,proxy_pde_max,proxy_ic_rms,proxy_inlet_rms,proxy_outlet_rms,proxy_combined,true_rel_l2,wall_s
0,nan,nan,0.4406734924784732,0.6554780346087541,0.437389058812633,0.43091207715423147,0.71066319973338,1.0374149205765435,1.3740513518707966,0.52
100,0.006210787263523585,0.001793951958519693,0.07157992146609458,6.996483872572151,0.029591806434752756,0.012263768801600529,7.407958965894837e-05,0.07842044171113077,0.02072326009173666,131.13
200,0.005685177273857112,0.0013279844909468194,0.06129798316992581,5.940144865710723,0.02842937338311485,0.011257422634185941,3.6810225233034136e-05,0.06850111627568145,0.01922433292338998,263.74
300,0.005320384276295747,0.0010074305014043283,0.05683484330430334,5.431369128296453,0.02771952090034004,0.010185418901791523,2.3793164615392695e-05,0.06404931363167568,0.015342810757965702,398.86
400,0.005100330806757888,0.0008121634725887716,0.07636730586442497,7.91318144024369,0.02760532561456711,0.009316537891995285,2.611612722376539e-06,0.08173626668982635,0.013243900162040642,531.69
500,0.004940137366688341,0.0006773974085493177,0.05358804017998141,4.8049024631692525,0.02658753805994653,0.00844460820194523,7.297308728013284e-07,0.06041429167537492,0.0117571658018095,666.31
600,0.004773571228553246,0.0005282491283623266,0.0427107275280717,2.814182265495587,0.02754794525732995,0.007839840828800572,6.799331239177472e-07,0.051425272372261355,0.009764942108095422,798.97
700,0.0046907006085058385,0.000456283793860413,0.03881576114112472,1.454835092686511,0.026884561580793758,0.007471010792874556,9.813497195566966e-07,0.04780438230525142,0.009131548515142465,932.37
800,0.004640997240454666,0.0004055022487064667,0.037090433203177835,1.1228406441535723,0.026853710794977833,0.007554903426251518,1.1607947382868337e-06,0.0464101129689116,0.009947067938300878,1057.12
900,0.004605072654637595,0.00037241514161208086,0.03496073940614604,1.19856309770757,0.02716549792648065,0.007406130354027022,1.3599734296341617e-06,0.044889512651491825,0.009833258863540558,1170.58
1000,0.004564395062610636,0.0003373482863699976,0.03501353153229986,1.5529024348427942,0.026845646951855175,0.007126191279944714,1.214204466938846e-06,0.04469249102768451,0.00946752877278984,1301.08
1100,0.004524269278053445,0.00030085396861682945,0.03577462718297759,1.3980774524418553,0.026737128813789972,0.006960094297124296,6.108283296825152e-07,0.045201116361039254,0.009289984854090301,1429.92
1200,0.004495240108547633,0.0002734581472932117,0.036559139423409964,1.7849852021177472,0.026809953523242825,0.0068975054221302595,5.599737233955165e-07,0.045857604218500735,0.0094549910397891,1548.77
1300,0.004466884670577387,0.00025038094651449674,0.0403457516304154,2.7829225232065706,0.026695378921989612,0.006604253287759991,6.632577116943886e-07,0.0488266227824593,0.008978252628125566,1651.88
1400,0.004466884670577387,0.00025038094651449674,0.0403457516304154,2.7829225232065706,0.026695378921989612,0.006604253287759991,6.632577116943886e-07,0.0488266227824593,0.008978252628125566,1656.95
1500,0.004466884670577387,0.00025038094651449674,0.0403457516304154,2.7829225232065706,0.026695378921989612,0.006604253287759991,6.632577116943886e-07,0.0488266227824593,0.008978252628125566,1661.9
1578,0.004466884670577387,0.00025038094651449674,0.0403457516304154,2.7829225232065706,0.026695378921989612,0.006604253287759991,6.632577116943886e-07,0.0488266227824593,0.008978252628125566,1666.94
