epoch,total_loss,pde_loss,ic_loss,inlet_bc_loss,outlet_bc_loss
1,0.8425561189651489,0.04257458448410034,0.0008629727526567876,0.7532781958580017,0.00326580205000937
2,0.8095583915710449,0.036377906799316406,0.0010432651033625007,0.7297583222389221,0.006000984460115433
3,0.7784939408302307,0.03285912424325943,0.001291789347305894,0.7019245624542236,0.00955931656062603
4,0.749257504940033,0.030117155984044075,0.0016043750802055001,0.673517644405365,0.013901160098612309
5,0.7218441963195801,0.02783103473484516,0.001975444843992591,0.6452302932739258,0.018976377323269844
6,0.6962345242500305,0.025909580290317535,0.0023977782111614943,0.617301344871521,0.024716263636946678
7,0.6723878383636475,0.024321457371115685,0.0028628313448280096,0.5898500680923462,0.031032046303153038
8,0.6502435207366943,0.0230525154620409,0.003361328039318323,0.5629613995552063,0.03781576082110405
9,0.629724383354187,0.022090250626206398,0.0038840961642563343,0.5367166996002197,0.04494311660528183
10,0.610741138458252,0.021415874361991882,0.004423030186444521,0.5112082958221436,0.05227803438901901
11,0.5931949019432068,0.020998135209083557,0.004972129128873348,0.4865480363368988,0.05967849865555763
12,0.5769789218902588,0.020786985754966736,0.005528415087610483,0.4628737270832062,0.06700281798839569
13,0.5619739890098572,0.02070850320160389,0.006092584691941738,0.4403492212295532,0.07411520928144455
14,0.5480440258979797,0.020665893331170082,0.00666929641738534,0.4191533327102661,0.08088960498571396
15,0.5350341200828552,0.020553886890411377,0.007267137058079243,0.3994472026824951,0.08721201121807098
16,0.5227809548377991,0.020286746323108673,0.007898356765508652,0.38132786750793457,0.09298127144575119
17,0.5111335515975952,0.019824063405394554,0.00857858918607235,0.3647974133491516,0.09810943901538849
18,0.4999701976776123,0.019176170229911804,0.009326716884970665,0.34976890683174133,0.10252223163843155
19,0.48920419812202454,0.018389713019132614,0.010164753533899784,0.33609938621520996,0.10616063326597214
20,0.478779673576355,0.0175267793238163,0.011117666028439999,0.32362452149391174,0.10898392647504807
21,0.46866509318351746,0.01664825715124607,0.012212836183607578,0.3121826648712158,0.11097308248281479
22,0.4588475227355957,0.015803994610905647,0.013479098677635193,0.3016270101070404,0.11213339865207672
23,0.4493294954299927,0.01502874493598938,0.014945355243980885,0.29183119535446167,0.11249545961618423
24,0.4401269555091858,0.01434179674834013,0.016638869419693947,0.28269046545028687,0.11211401224136353
25,0.4312657415866852,0.013748510740697384,0.018583443015813828,0.27412042021751404,0.1110648438334465
26,0.42277902364730835,0.013242868706583977,0.020797671750187874,0.26605528593063354,0.10944031924009323
27,0.4147026538848877,0.01281030848622322,0.023293470963835716,0.25844448804855347,0.10734409093856812
28,0.4070710837841034,0.012430665083229542,0.026074985042214394,0.251249223947525,0.10488554835319519
29,0.3999134302139282,0.012081130407750607,0.029138004407286644,0.24443860352039337,0.1021745428442955
30,0.3932502269744873,0.011739162728190422,0.03246993571519852,0.2379852831363678,0.09931667894124985
31,0.38709256052970886,0.011385239660739899,0.03605036064982414,0.23186245560646057,0.09640925377607346
32,0.3814413845539093,0.011005236767232418,0.03985209763050079,0.22604064643383026,0.09353815764188766
33,0.37628889083862305,0.01059209369122982,0.04384266212582588,0.22048616409301758,0.09077586978673935
34,0.3716195225715637,0.010146555490791798,0.0479859784245491,0.21515996754169464,0.08818048238754272
35,0.36741191148757935,0.009676729328930378,0.05224407836794853,0.21001848578453064,0.08579587936401367
36,0.36363962292671204,0.009196536615490913,0.056578632444143295,0.20501506328582764,0.08365285396575928
37,0.36027252674102783,0.008723204955458641,0.060952119529247284,0.20010317862033844,0.08177083730697632
38,0.35727769136428833,0.008274323306977749,0.06532856076955795,0.19524018466472626,0.08016030490398407
39,0.3546207547187805,0.007864915765821934,0.06967393308877945,0.19039197266101837,0.07882504165172577
40,0.3522678315639496,0.00750519847497344,0.07395614683628082,0.1855369210243225,0.0777643695473671
41,0.35018712282180786,0.007199310231953859,0.0781451016664505,0.1806686669588089,0.07697475701570511
42,0.3483505845069885,0.006945227272808552,0.08221262693405151,0.17579661309719086,0.07645086944103241
43,0.34673401713371277,0.006735607981681824,0.08613279461860657,0.17094410955905914,0.0761859193444252
44,0.34531736373901367,0.006559405475854874,0.08988235145807266,0.1661449670791626,0.07617123425006866
45,0.344083309173584,0.0064038303680717945,0.093441441655159,0.1614387333393097,0.07639548927545547
46,0.34301698207855225,0.006256472319364548,0.09679453074932098,0.1568659394979477,0.07684354484081268
47,0.3421047329902649,0.006107214838266373,0.09993112832307816,0.15246376395225525,0.07749541103839874
48,0.3413342833518982,0.005949747748672962,0.10284632444381714,0.14826300740242004,0.07832544296979904
49,0.34069377183914185,0.005782299675047398,0.105540931224823,0.14428609609603882,0.07930213958024979
50,0.3401718735694885,0.005607497412711382,0.10802114009857178,0.14054715633392334,0.08038859069347382
51,0.3397570550441742,0.005431423895061016,0.11029770225286484,0.13705286383628845,0.08154366165399551
52,0.3394370377063751,0.005262033548206091,0.11238459497690201,0.13380442559719086,0.0827239528298378
53,0.3391985595226288,0.005107362754642963,0.11429750919342041,0.1308000683784485,0.08388625830411911
54,0.3390275835990906,0.00497392239049077,0.1160522922873497,0.12803730368614197,0.08499015867710114
55,0.33890998363494873,0.004865542985498905,0.11766359955072403,0.12551487982273102,0.08600042760372162
56,0.3388318121433258,0.004782816860824823,0.11914381384849548,0.12323334813117981,0.08688899874687195
57,0.3387802243232727,0.00472317636013031,0.1205025166273117,0.12119533866643906,0.08763603866100311
58,0.3387438654899597,0.004681523889303207,0.12174651026725769,0.11940427124500275,0.08823001384735107
59,0.3387128412723541,0.004651274532079697,0.12288009375333786,0.11786317080259323,0.08866703510284424
60,0.33867913484573364,0.004625646863132715,0.12390583753585815,0.11657249927520752,0.08894950151443481
61,0.3386364281177521,0.004598955623805523,0.12482544034719467,0.1155286654829979,0.08908440917730331
62,0.33858031034469604,0.00456763431429863,0.12564031779766083,0.11472288519144058,0.08908184617757797
63,0.33850836753845215,0.004530748818069696,0.1263522207736969,0.11414088308811188,0.08895376324653625
64,0.3384196162223816,0.004489925689995289,0.12696342170238495,0.11376316845417023,0.0887131616473198
65,0.3383144736289978,0.004448713269084692,0.1274765431880951,0.11356645822525024,0.088374063372612
66,0.33819419145584106,0.0044115763157606125,0.1278943121433258,0.11352525651454926,0.08795147389173508
