epoch,train_total,train_pde,proxy_pde_rms,proxy_pde_rms_excl,proxy_pde_max_excl,proxy_pde_p50,proxy_pde_p90,proxy_ic_rms,proxy_inlet_rms,proxy_outlet_rms,proxy_combined,true_rel_l2,wall_s
0,nan,nan,0.20380524176968395,0.20152396446452864,0.6522373725630964,0.1115434103370959,0.3492934671427424,0.8191196022174447,0.19624161490469993,0.9288184607726293,1.2699540682571187,3.6013765737508585,0.54
100,0.00578646919491052,0.001388732860425039,0.3023168182419438,0.0852838177805019,6.71195815498109,0.003244414736723489,0.05153614340955448,0.030774149273197597,0.011206928736979533,0.00012072908910500953,0.09135637725925648,0.015453100089121199,135.31
200,0.005444068063841671,0.00118287217860527,0.4307627516502306,0.15715217181673888,11.594748314944782,0.0030446290051056035,0.042957876486911475,0.028267699943785883,0.008138045489883672,9.794352333009849e-05,0.15988153534463856,0.010109026343031178,269.05
300,0.005276968670774684,0.0010483032376043995,0.526851176204672,0.194252688613676,14.547937581342932,0.0020206233951540285,0.037377220556267396,0.027658843748691226,0.006889411033054409,6.605909795578251e-05,0.19633284753026703,0.007579333484429994,402.49
400,0.0051860642133024085,0.0009731708672164736,0.5732229494883729,0.22972365548956264,16.851077852740925,0.0011827030060959929,0.03721538841880756,0.027448439871055635,0.005834656748578953,2.888845843825226e-05,0.2314312398894302,0.00710468687113232,535.08
500,0.005134523480350488,0.0009297445219021189,0.5787319257423132,0.23743206640586628,17.07663609772685,0.0011959115607188733,0.0364215261564339,0.027116484617806462,0.005465932449816342,2.6284582536729166e-05,0.2390380032635243,0.006589776887971993,658.23
600,0.005084592978449681,0.0008830615292310416,0.5755917615021382,0.24620802905045938,17.644029378975183,0.0007792105198519415,0.03663469381250862,0.026279767301409372,0.00522763600053388,1.1032227690394292e-05,0.24766176135647625,0.006807492019090741,785.41
700,0.005029562219286571,0.0008338375113492675,0.590292319078429,0.2612204591990289,18.621666013417375,0.0005891331395266562,0.03520356639991765,0.02680636453768518,0.004920880388726918,7.755221200447156e-06,0.26263839134411104,0.0072766387137442766,915.48
800,0.004977021602441859,0.0007831279217384072,0.5843393984728411,0.269196664116259,19.123837606091627,0.0005717693151296339,0.03397435040598784,0.02636658039781395,0.004818534084461615,6.138234976764427e-06,0.2705277413530771,0.008754076156110404,1040.08
900,0.004947282254262066,0.0007542584865360356,0.5945633069425428,0.27677551453721233,19.814344054156088,0.0008246630305764613,0.031657030027584035,0.02641193486886967,0.004747841407028875,4.450443338655584e-06,0.27807340356224075,0.00860201081999372,1150.18
1000,0.0049353297120124,0.0007420494573785023,0.6036177826641637,0.2830583084045607,20.216139795786,0.0007781122937104649,0.03199856821667563,0.02666124649817552,0.004707449283319842,4.812633937514381e-06,0.28435011539228244,0.007830134003761946,1190.85
1100,0.0049353297120124,0.0007420494573785023,0.6036177826641637,0.2830583084045607,20.216139795786,0.0007781122937104649,0.03199856821667563,0.02666124649817552,0.004707449283319842,4.812633937514381e-06,0.28435011539228244,0.007830134003761946,1197.49
1200,0.0049353297120124,0.0007420494573785023,0.6036177826641637,0.2830583084045607,20.216139795786,0.0007781122937104649,0.03199856821667563,0.02666124649817552,0.004707449283319842,4.812633937514381e-06,0.28435011539228244,0.007830134003761946,1203.94
1233,0.0049353297120124,0.0007420494573785023,0.6036177826641637,0.2830583084045607,20.216139795786,0.0007781122937104649,0.03199856821667563,0.02666124649817552,0.004707449283319842,4.812633937514381e-06,0.28435011539228244,0.007830134003761946,1205.81
