epoch,total_loss,pde_loss,ic_loss,inlet_bc_loss,outlet_bc_loss
1,0.9532379508018494,0.00936473160982132,0.01368287019431591,0.8858778476715088,0.044312480837106705
2,0.9032524228096008,0.0044885193929076195,0.009994626976549625,0.8493145704269409,0.039454709738492966
3,0.8569101691246033,0.0014368828851729631,0.006988563574850559,0.813478410243988,0.03500629961490631
4,0.8142365217208862,0.0001723172899801284,0.004638587590306997,0.7785115838050842,0.03091401979327202
5,0.7752269506454468,0.0006382877472788095,0.0029361527413129807,0.7444517016410828,0.027200814336538315
6,0.739823579788208,0.0027378681115806103,0.0018637590110301971,0.7113311290740967,0.023890847340226173
7,0.7079078555107117,0.006325621157884598,0.0013916733441874385,0.679187536239624,0.021003002300858498
8,0.679287314414978,0.011200368404388428,0.0014765658415853977,0.648055911064148,0.01855447329580784
9,0.6536895036697388,0.017103521153330803,0.0020597539842128754,0.6179690957069397,0.01655717007815838
10,0.6307711005210876,0.02372783236205578,0.003068122547119856,0.5889611840248108,0.01501394622027874
11,0.6101407408714294,0.030736688524484634,0.004418380092829466,0.5610672235488892,0.013918441720306873
12,0.591392457485199,0.03779086098074913,0.00602366030216217,0.5343199968338013,0.013257922604680061
13,0.5741404891014099,0.04457681626081467,0.007800807245075703,0.5087454319000244,0.013017441146075726
14,0.5580505728721619,0.050829920917749405,0.009676537476480007,0.48436033725738525,0.013183743692934513
15,0.5428568720817566,0.056347765028476715,0.011591232381761074,0.46116992831230164,0.013747909106314182
16,0.5283674001693726,0.06099284067749977,0.013500048778951168,0.43916815519332886,0.014706375077366829
17,0.5144582986831665,0.064687579870224,0.01537193264812231,0.418338418006897,0.0160603579133749
18,0.5010614991188049,0.06740522384643555,0.017187492921948433,0.398654580116272,0.017814209684729576
19,0.4881522059440613,0.06916005164384842,0.01893659494817257,0.3800823390483856,0.019973205402493477
20,0.47573691606521606,0.06999817490577698,0.02061614766716957,0.3625814616680145,0.022541143000125885
21,0.4638426899909973,0.06998979300260544,0.022228283807635307,0.34610649943351746,0.025518111884593964
22,0.45250898599624634,0.06922265887260437,0.023778969421982765,0.33060887455940247,0.028898468241095543
23,0.4417804181575775,0.06779667735099792,0.025276944041252136,0.31603768467903137,0.03266910836100578
